".impact",".impact","EN","ES"
"1Day Sooner","1Day Sooner","EN","ES"
"80,000 Hours","80.000 Horas","EN","ES"
"an issue that, if more thoroughly examined, could rank as a top global challenge","una cuestión que, si se examinara más a fondo, podría calificar como uno de los principales desafíos globales","EN","ES"
"an unusually pressing global problem ranked slightly below their four highest priority areas","un problema global inusualmente grave situado levemente por debajo de las cuatro áreas consideradas de prioridad máxima","EN","ES"
"a potential highest priority area","una potencial área de máxima prioridad","EN","ES"
"a second-highest priority area","un área de segunda máxima prioridad","EN","ES"
"Abdul Latif Jameel Poverty Action Lab","Abdul Latif Jameel Poverty Action Lab","EN","ES"
"acausal trade","intercambio no causal","EN","ES"
"accidental harm","daño accidental","EN","ES"
"adjusted life year","año de vida ajustado","EN","ES"
"affectable universe","universo afectable","EN","ES"
"Against Malaria Foundation","Against Malaria Foundation","EN","ES"
"AGI","IAG","EN","ES"
"aging research","investigación sobre el envejecimiento","EN","ES"
"agricultural revolution","Revolución Neolítica","EN","ES"
"AI alignment","alineación de la IA","EN","ES"
"AI Alignment Forum","AI Alignment Forum","EN","ES"
"AI arms race","carrera armamentista de la AI","EN","ES"
"AI boxing","encajamiento de la IA","EN","ES"
"AI disaster","desastres causados por la IA","EN","ES"
"AI ethics","ética de la IA","EN","ES"
"AI forecasting","pronósticación de la IA","EN","ES"
"AI interpretability","interpretabilidad de la IA","EN","ES"
"AI race","carrera de la IA","EN","ES"
"AI risk","riesgo asociado a la IA","EN","ES"
"AI safety","seguridad de la IA","EN","ES"
"AI skepticism","escepticismo sobre la IA","EN","ES"
"AI takeoff","despegue de la IA","EN","ES"
"AI takeover","toma de poder por parte de la AI","EN","ES"
"AI winter","invierno de la IA","EN","ES"
"AI-enabled","con IA","EN","ES"
"air pollution","contaminación atmosférica","EN","ES"
"Albert Schweitzer Foundation","Albert Schweitzer Foundation","EN","ES"
"alignment","alineación","EN","ES"
"Alignment Research Center","Alignment Research Center","EN","ES"
"alignment tax","impuesto de alineación","EN","ES"
"All-Party Parliamentary Group for Future Generations","All-Party Parliamentary Group for Future Generations","EN","ES"
"ALLFED","ALLFED","EN","ES"
"alternative proteins","proteínas alternativas","EN","ES"
"altruistic coordination","coordinación altruista","EN","ES"
"altruistic motivation","motivación altruista","EN","ES"
"altruistic wager","apuesta altruista","EN","ES"
"Alvea","Alvea","EN","ES"
"Anima International","Anima International","EN","ES"
"Animal Advocacy Careers","Animal Advocacy Careers","EN","ES"
"Animal Ask","Animal Ask","EN","ES"
"Animal Charity Evaluators","Animal Charity Evaluators","EN","ES"
"animal cognition","cognición animal","EN","ES"
"Animal Empathy Philippines","Animal Empathy Philippines","EN","ES"
"animal product","producto de origen animal","EN","ES"
"animal product alternatives","alternativas a los productos de origen animal","EN","ES"
"animal sentience","sintiencia animal","EN","ES"
"animal welfare","bienestar animal","EN","ES"
"Animal Welfare Fund","Animal Welfare Fund","EN","ES"
"anthropic capture","captura antrópica","EN","ES"
"anthropic shadow","sombra antrópica","EN","ES"
"anthropics","antrópica","EN","ES"
"anthropogenic existential risk","riesgo existencial antropogénico","EN","ES"
"Apollo Academic Surveys","Apollo Academic Surveys","EN","ES"
"applied ethics","ética aplicada","EN","ES"
"applied welfare biology","biología del bienestar aplicada","EN","ES"
"Aquatic Life Institute","Aquatic Life Institute","EN","ES"
"artificial general intelligence","inteligencia artificial general","EN","ES"
"artificial intelligence","inteligencia artificial","EN","ES"
"artificial sentience","sintiencia artificial","EN","ES"
"Association for Long Term Existence and Resilience","Association for Long Term Existence and Resilience","EN","ES"
"astronomical waste","desperdicio astronómico","EN","ES"
"Atlas Fellowship","Atlas Fellowship","EN","ES"
"atomically precise manufacturing","fabricación de precisión atómica","EN","ES"
"automation","automatización","EN","ES"
"autonomous weapon","arma autónoma","EN","ES"
"AWTP","DAPA","EN","ES"
"axiology","axiología","EN","ES"
"Ayuda Efectiva","Ayuda Efectiva","EN","ES"
"baby universe","universo pequeño","EN","ES"
"bad actor","actor malintencionado","EN","ES"
"basic AI drive","impulso básico de la IA","EN","ES"
"bayes theorem","teorema de Bayes","EN","ES"
"bayesian epistemology","epistemología bayesiana","EN","ES"
"bed nets","mosquiteras","EN","ES"
"Berkeley Existential Risk Initiative","Berkeley Existential Risk Initiative","EN","ES"
"Bill & Melinda Gates Foundation","Bill & Melinda Gates Foundation","EN","ES"
"Bing Chat","Bing Chat","EN","ES"
"bioanchor","anclaje biológico","EN","ES"
"biodiversity loss","pérdida de biodiversidad","EN","ES"
"bioethics","bioética","EN","ES"
"biological anchor","anclaje biológico","EN","ES"
"Biological Weapons Convention","Convención sobre las Armas Biológicas","EN","ES"
"biorisk","biorriesgo","EN","ES"
"biosecurity","bioseguridad","EN","ES"
"biosurveillance","biovigilancia","EN","ES"
"biotechnology","biotecnología","EN","ES"
"bioterrorism","bioterrorismo","EN","ES"
"brain computer interfaces","interfaces cerebro-ordenador","EN","ES"
"broad intervention","intervención amplia","EN","ES"
"broad market efficiency","eficiencia de mercado amplio","EN","ES"
"broad vs. narrow interventions","intervenciones amplias e intervenciones estrechas","EN","ES"
"building effective altruism","desarrollo del altruismo eficaz","EN","ES"
"Bulletin of the Atomic Scientists","Bulletin of the Atomic Scientists","EN","ES"
"burden of disease","carga de la enfermedad","EN","ES"
"California effect","efecto California","EN","ES"
"California YIMBY","California YIMBY","EN","ES"
"Cambridge Existential Risks Initiative","Cambridge Existential Risks Initiative","EN","ES"
"Cambridge Summer Programme in Applied Reasoning","Cambridge Summer Programme in Applied Reasoning","EN","ES"
"Canopie","Canopie","EN","ES"
"capability control method","método de control de la capacidad","EN","ES"
"career","carrera profesional","EN","ES"
"career capital","capital profesional","EN","ES"
"career choice","elección de carrera profesional","EN","ES"
"career framework","marco para la elección de carreras","EN","ES"
"cash transfers","transferencias de dinero","EN","ES"
"cause area","área de trabajo","EN","ES"
"cause neutrality","neutralidad respecto a las causas","EN","ES"
"cause prioritization","priorización de causas","EN","ES"
"cause x","causa X","EN","ES"
"CBA","ACB","EN","ES"
"Cellular Agriculture Society","Cellular Agriculture Society","EN","ES"
"Center for Applied Rationality","Center for Applied Rationality","EN","ES"
"Center for Election Science","Center for Election Science","EN","ES"
"Center for Human-Compatible Artificial Intelligence","Center for Human-Compatible Artificial Intelligence","EN","ES"
"Center for Reducing Suffering","Center for Reducing Suffering","EN","ES"
"Center for Security and Emerging Technology","Center for Security and Emerging Technology","EN","ES"
"Center for Space Governance","Center for Space Governance","EN","ES"
"Center on Long-Term Risk","Center on Long-Term Risk","EN","ES"
"Centre for Effective Altruism","Centre for Effective Altruism","EN","ES"
"Centre for Enabling EA Learning & Research","Centre for Enabling EA Learning & Research","EN","ES"
"Centre for Long-Term Resilience","Centre for Long-Term Resilience","EN","ES"
"Centre for the Governance of AI","Centre for the Governance of AI","EN","ES"
"Centre for the Study of Existential Risk","Centre for the Study of Existential Risk","EN","ES"
"certificate of impact","certificado de impacto","EN","ES"
"charity","organización benéfica","EN","ES"
"Charity Entrepreneurship","Charity Entrepreneurship","EN","ES"
"charity evaluation","evaluación de organizaciones benéficas","EN","ES"
"charity incubation","incubación de organizaciones benéficas","EN","ES"
"Charity Science Foundation","Charity Science Foundation","EN","ES"
"charter cities","ciudades chárter","EN","ES"
"Charter Cities Institute","Charter Cities Institute","EN","ES"
"civilizational collapse","colapso de la civilización","EN","ES"
"civilizational resilience","resiliencia de la civilización","EN","ES"
"classical utilitarianism","utilitarismo clásico","EN","ES"
"clean meat","carne limpia","EN","ES"
"climate change","cambio climático","EN","ES"
"climate engineering","ingeniería climática","EN","ES"
"close calls","incidentes que estuvieron muy cerca de ser una catástrofe","EN","ES"
"clueless","estar en una situación de incertidumbre radical","EN","ES"
"cluelessness","incertidumbre radical","EN","ES"
"cluster headache","cefalea en brotes","EN","ES"
"cluster thinking","pensamiento en conjunto","EN","ES"
"cognitive bias","sesgo cognitivo","EN","ES"
"cognitive enhancement","mejora de la cognición","EN","ES"
"collective superintelligence","superinteligencia colectiva","EN","ES"
"command, control, and communications","mando, control y comunicaciones","EN","ES"
"community infrastructure","infraestructura de la comunidad","EN","ES"
"Compassion in World Farming","Compassion in World Farming","EN","ES"
"compound existential risk","riesgo existencial compuesto","EN","ES"
"comprehensive AI services","servicios de IA integrales","EN","ES"
"Comprehensive Nuclear-Test-Ban Treaty","Tratado de Prohibición Completa de los Ensayos Nucleares","EN","ES"
"computation hazard","riesgo de la computación","EN","ES"
"computational power of the human brain","capacidad computacional del cerebro humano","EN","ES"
"compute","poder de cómputo","EN","ES"
"compute governance","gobernanza de la computación","EN","ES"
"computer vision","visión artificial","EN","ES"
"computing power","poder de cómputo","EN","ES"
"computronium","computronio","EN","ES"
"conditional on","en caso de que","EN","ES"
"conflict theory","teoría del conflicto","EN","ES"
"consciousness research","investigación sobre la consciencia","EN","ES"
"consequentialism","consecuencialismo","EN","ES"
"conservation","conservación","EN","ES"
"constraints on effective altruism","límites en el altruismo eficaz","EN","ES"
"consultancy","consultoría","EN","ES"
"Cooperative AI Foundation","Cooperative AI Foundation","EN","ES"
"cooperative AI foundation","IA cooperativa","EN","ES"
"Copenhagen Consensus Center","Copenhagen Consensus Center","EN","ES"
"corporate animal welfare campaigns","campañas corporativas para el bienestar animal","EN","ES"
